"id","year","player","team","completions","pass_attempts","passing_yards","passing_td","interception","times_sacked","sack_yards","longest_pass","qbr","rush_attempts","rushing_yards","rushing_td","longest_run","receptions","receiving_yards","receiving_td","longest_reception","fumble","fumbles_lost"
140,2014,"Doug Baldwin","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,1,3,1,3,0,0
141,2014,"Bryan Walters","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
142,2013,"Peyton Manning","DEN",34,49,280,1,2,1,1,23,73.5,1,0,0,0,0,0,0,0,1,1
143,2013,"Knowshon Moreno","DEN",0,0,0,0,0,0,0,0,,5,17,0,9,3,20,0,7,1,0
144,2013,"C.J. Anderson","DEN",0,0,0,0,0,0,0,0,,2,9,0,6,1,14,0,14,0,0
145,2013,"Montee Ball","DEN",0,0,0,0,0,0,0,0,,6,1,0,3,2,2,0,1,0,0
146,2013,"Demaryius Thomas","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,13,118,1,23,1,1
147,2013,"Wes Welker","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,8,84,0,22,0,0
148,2013,"Julius Thomas","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,4,27,0,11,0,0
149,2013,"Jacob Tamme","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,2,9,0,11,0,0
150,2013,"Eric Decker","DEN",0,0,0,0,0,0,0,0,,0,0,0,0,1,6,0,6,0,0
151,2013,"Russell Wilson","SEA",18,25,206,2,0,0,0,37,123.1,3,26,0,16,0,0,0,0,0,0
152,2013,"Tarvaris Jackson","SEA",0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0
153,2013,"Percy Harvin","SEA",0,0,0,0,0,0,0,0,,2,45,0,30,1,5,0,5,0,0
154,2013,"Marshawn Lynch","SEA",0,0,0,0,0,0,0,0,,15,39,1,18,0,0,0,0,0,0
155,2013,"Robert Turbin","SEA",0,0,0,0,0,0,0,0,,9,25,0,6,0,0,0,0,0,0
156,2013,"Doug Baldwin","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,5,66,1,37,0,0
157,2013,"Jermaine Kearse","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,4,65,1,24,0,0
158,2013,"Ricardo Lockette","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,1,19,0,19,0,0
159,2013,"Golden Tate","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,3,17,0,9,0,0
160,2013,"Luke Willson","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,2,17,0,12,0,0
161,2013,"Zach Miller","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,1,10,0,10,0,0
162,2013,"Michael Robinson","SEA",0,0,0,0,0,0,0,0,,0,0,0,0,1,7,0,7,0,0
163,2012,"Joe Flacco","BAL",22,33,287,3,0,2,13,56,124.2,0,0,0,0,0,0,0,0,0,0
